imdb_id,critic_reviews,user_reviews,metascore,budget,worldwide_gross
tt0044338,1,4,,,
tt0497830,1,1,,,
tt9598172,3,12,,,
tt0378645,,,,,
tt0155693,,,,,
tt0071452,2,1,,,
tt5129254,,,,,
tt0021844,4,4,,,
tt2842566,,,,,
tt8461156,,,,,
tt1110266,,,,,
tt14715970,,,,,
tt0041603,1,2,,,
tt2162711,,,,,
tt0052604,28,28,,,
tt9676900,2,9,,,
tt0376737,,,,,
tt13140122,,,,,
tt1616096,3,3,,,
tt0094658,4,4,,,
tt9786006,3,6,,,
tt0127095,,,,,
tt0279694,,,,,
tt9064968,,,,,
tt3771464,,,,,
tt0071467,,,,,
tt0069783,16,14,,,
tt0378647,,,,,
tt21281688,10,12,,,
tt0031782,,,,,
tt0171182,,,,,
tt10397696,,,,,
tt8801582,,,,,
tt6575280,17,4,,,
tt0306734,69,163,51,,
tt0156651,,,,,
tt0089234,,,,,
tt0245171,46,66,55,,
tt15386758,,,,,
tt0104719,2,2,,,
tt1756692,6,2,,,
tt0069266,13,7,,,
tt0892068,,,,,
tt0133965,,,,,
tt0066747,2,2,,,
tt0263594,,,,,
tt7380772,1,1,,,
tt4437688,,,,,
tt0413472,1,3,,,
tt0197521,52,127,60,,
tt0265716,,,,,
tt2516798,,,,,
tt0984036,,,,,
tt21914900,,,,,
tt11390878,2,1,,,
tt4023338,,,,,
tt1676230,,,,,
tt1858776,,,,,
tt0194460,,,,,
tt0845968,2,1,,,
tt0181699,,,,,
tt8133888,3,7,,,
tt0466231,,,,,
tt13079764,,,,,
tt5161370,,,,,
tt0060093,,,,,
tt1890433,,,,,
tt6454746,,,,,
tt0128960,,,,,
tt0814045,,,,,
tt6257104,,,,,
tt13059796,,,,,
tt6892276,,,,,
tt19404382,,,,,
tt26731175,,,,,
tt0175949,,,,,
tt0091065,3,13,,,
tt14484812,,,,,
tt6354090,,,,,
tt14436532,,,,,
tt0201927,,,,,
tt7466486,,,,,
tt13377488,11,31,,,
tt5884194,,,,,
tt0091717,,,,,
tt0135468,,,,,
tt0095904,84,50,47,,
tt1172233,197,145,68,,
tt0066580,69,77,95,,
tt6192618,,,,,
tt1665807,,,,,
tt0101895,,,,,
tt0032865,,,,,
tt0135120,,,,,
tt0329177,1,2,,,
tt15847828,11,15,,,
tt6226212,,,,,
tt1552639,,,,,
tt7974156,4,9,,,
tt1225290,31,6,,,
tt0242851,,,,,
tt0213040,,,,,
tt15736370,,,,,
tt0493247,27,23,,,
tt1544590,13,5,,,
tt0425419,,,,,
tt0161542,11,11,,,
tt0102558,36,288,13,,
tt0246106,,,,,
tt0088462,3,5,,,
tt1146325,15,64,,,
tt0185322,,,,,
tt4697734,1,4,,,
tt2374711,,,,,
tt8407418,7,18,,,
tt0242084,,,,,
tt0063010,12,11,,,
tt5799454,,,,,
tt3786944,,,,,
tt0196133,,,,,
tt8437364,,,,,
tt1649349,,,,,
tt0847221,9,4,,,
tt2249734,,,,,
tt9686178,,,,,
tt0319583,,,,,
tt0367151,10,11,,,
tt2073138,2,5,,,
tt6082156,,,,,
tt1479398,2,11,,,
