user_id,weighted_genres
ur0001220,"[9.53023192e-01 7.06322474e-01 1.90378244e-01 3.00731640e-01
 1.36485367e+00 1.13731364e+00 2.59166207e-01 3.01717283e+00
 1.42821645e-01 3.13611264e-01 1.09525124e-01 1.95030370e-01
 7.83144671e-01 2.26049144e-01 1.06488128e-01 5.24737714e-01
 2.23633352e-03 0.00000000e+00 6.80218112e-01 3.58834898e-01
 0.00000000e+00 6.68829376e-02 0.00000000e+00 8.28078410e-01
 1.75855881e-01 1.24613473e-01]"
ur0002746,"[1.85441527 1.41491647 0.32732697 0.44343675 1.00071599 1.07589499
 0.12231504 3.02052506 0.42840095 0.69653938 0.03508353 0.36801909
 0.31002387 0.10596659 0.03949881 0.57804296 0.         0.
 0.6548926  0.42637232 0.         0.14701671 0.         1.0473747
 0.16885442 0.24319809]"
ur0011762,"[1.09672686e+00 1.16422122e+00 5.59537246e-01 3.13261851e-01
 2.11241535e+00 6.39390519e-01 2.19356659e-01 2.21331828e+00
 2.67155756e-01 4.82618510e-01 1.23927765e-01 1.50000000e-01
 2.84198646e-01 2.10835214e-01 1.70259594e-01 4.19018059e-01
 1.41083521e-03 3.61173815e-03 7.10722348e-01 4.32844244e-01
 0.00000000e+00 3.24492099e-02 0.00000000e+00 3.95033860e-01
 7.92889391e-02 2.53386005e-02]"
ur0019730,"[0.76050279 0.6722067  0.20687151 0.33488827 1.80907821 0.93371508
 0.39972067 2.46550279 0.17315642 0.27030726 0.10924581 0.16022346
 0.1576257  0.19664804 0.05558659 0.34368715 0.00600559 0.
 0.77675978 0.26343575 0.         0.07815642 0.         0.57458101
 0.12148045 0.06586592]"
ur0033913,"[0.30719016 0.60104068 0.11693472 0.78930937 2.72876064 1.06442763
 0.51078524 4.35402081 0.37199622 0.23538316 0.04285714 0.37578051
 0.33046358 0.43055818 0.1358562  0.515421   0.01551561 0.
 1.45525071 0.16367077 0.         0.17445601 0.         0.63036897
 0.16821192 0.02336802]"
ur0035229,"[0.80247168 1.03398558 0.30509784 0.38789907 1.68352214 0.78805355
 0.03218332 3.1831102  0.24351184 0.3253862  0.15700309 0.24346035
 0.22636457 0.20628218 0.13208033 0.49958805 0.         0.
 1.09706488 0.35437693 0.         0.09330587 0.         0.64546859
 0.2284758  0.04732235]"
ur0041696,"[1.21695122 1.2802439  0.07487805 0.47182927 1.78012195 0.74768293
 0.00439024 3.57060976 0.32182927 0.36268293 0.05841463 0.38731707
 0.16621951 0.22536585 0.17512195 0.44280488 0.         0.
 1.30756098 0.40902439 0.         0.08073171 0.         0.61280488
 0.46036585 0.20207317]"
ur0041958,"[1.34133333 1.20666667 0.17163636 0.49684848 2.04121212 1.09030303
 0.15442424 3.66557576 0.24169697 0.48606061 0.05187879 0.32472727
 0.33660606 0.196      0.13648485 0.68775758 0.         0.
 0.87139394 0.55733333 0.         0.09163636 0.         0.92327273
 0.25987879 0.064     ]"
ur0064493,"[0.59407115 0.40782609 0.03288538 0.50885375 1.21644269 0.90229249
 0.33162055 3.62387352 0.07043478 0.25833992 0.04513834 0.22086957
 0.38608696 0.24869565 0.10703557 0.63185771 0.00505929 0.
 1.11786561 0.28529644 0.         0.03747036 0.         0.77636364
 0.16347826 0.02221344]"
ur0082768,"[1.65888783 1.33079848 0.228327   0.16673004 2.24862167 0.8723384
 0.02514259 2.40223384 0.4706749  0.57229087 0.         0.08331749
 0.47647338 0.08260456 0.03631179 0.3786597  0.         0.
 0.79976236 0.58037072 0.         0.07110266 0.         0.6365019
 0.07390684 0.01302281]"
